"metric","site","value"
"HSAM","07103700",0.771552173248982
"HSAM","07105500",0.772296848705335
"HSAM","07105800",0.551732099113048
"HSAM","07106300",0.595586612190233
"HSAM","07106500",0.598695402228572
"HSAM","07109500",0.388535672507696
"HSAM","08313000",0.24296810584439
"HSAM","08330000",0.279339971001995
"HSAM","08354900",0.389849902044348
"HSAM","08355490",0.726087582960736
"HSAM","08358400",0.608045564637603
"HSAM","09095500",0.281145511062111
"HSAM","09152500",0.128116148785943
"HSAM","09163500",0.221094296018162
"HSAM","09261000",0.257388398701751
"LSAM","07103700",-0.494803739094929
"LSAM","07105500",-0.324067873848703
"LSAM","07105800",-0.191086347163099
"LSAM","07106300",-0.369705083864902
"LSAM","07106500",-0.414169277821155
"LSAM","07109500",-0.311612007918186
"LSAM","08313000",-0.218183329724718
"LSAM","08330000",-0.282269393733168
"LSAM","08354900",-0.552413127910447
"LSAM","08355490",-1.03157105898861
"LSAM","08358400",-0.918902517449435
"LSAM","09095500",-0.216474338489178
"LSAM","09152500",-0.108099048524828
"LSAM","09163500",-0.155253877717886
"LSAM","09261000",-0.238747301251235
"HSAF","07103700",7.5945945945946
"HSAF","07105500",12.4594594594595
"HSAF","07105800",16.0810810810811
"HSAF","07106300",15.3243243243243
"HSAF","07106500",14.7837837837838
"HSAF","07109500",5.08108108108108
"HSAF","08313000",5.69444444444444
"HSAF","08330000",7.44736842105263
"HSAF","08354900",6.31578947368421
"HSAF","08355490",6.36842105263158
"HSAF","08358400",6.63157894736842
"HSAF","09095500",2.10344827586207
"HSAF","09152500",6.91111111111111
"HSAF","09163500",5.37931034482759
"HSAF","09261000",3.51351351351351
"LSAF","07103700",8.56756756756757
"LSAF","07105500",13.3783783783784
"LSAF","07105800",16.9189189189189
"LSAF","07106300",15.0810810810811
"LSAF","07106500",14.5135135135135
"LSAF","07109500",6.05405405405405
"LSAF","08313000",6.66666666666667
"LSAF","08330000",8.31578947368421
"LSAF","08354900",5.3421052631579
"LSAF","08355490",5.36842105263158
"LSAF","08358400",5.63157894736842
"LSAF","09095500",3.06896551724138
"LSAF","09152500",6.8
"LSAF","09163500",6.10344827586207
"LSAF","09261000",4.48648648648649
"FPExt","07103700",38.5147307795184
"FPExt","07105500",28.869701161368
"FPExt","07105800",15.3468573776932
"FPExt","07106300",16.8948449380384
"FPExt","07106500",17.6069678559543
"FPExt","07109500",29.1727071404878
"FPExt","08313000",17.00525407595
"FPExt","08330000",19.7167217051933
"FPExt","08354900",35.4895648327839
"FPExt","08355490",66.5157038007383
"FPExt","08358400",62.2916698664593
"FPExt","09095500",19.1706794293168
"FPExt","09152500",6.34613409081124
"FPExt","09163500",12.4470771717681
"FPExt","09261000",17.9045757166734
"NAA","07103700",1.11627966531411
"NAA","07105500",0.152189518210103
"NAA","07105800",-0.332172377370395
"NAA","07106300",-0.355940901626929
"NAA","07106500",-0.62400667905364
"NAA","07109500",0.601828265923524
"NAA","08313000",-0.379011183473289
"NAA","08330000",-0.135327778584442
"NAA","08354900",0.568968799347463
"NAA","08355490",2.47650104938452
"NAA","08358400",3.05581492931236
"NAA","09095500",-0.222923009057818
"NAA","09152500",0.0069069886581462
"NAA","09163500",-0.1556259596171
"NAA","09261000",0.0273397238719372
"HFsigma","07103700",0.479036069112099
"HFsigma","07105500",0.352593267551251
"HFsigma","07105800",0.276512978049319
"HFsigma","07106300",0.343718948864814
"HFsigma","07106500",0.340505952283664
"HFsigma","07109500",0.129869004123338
"HFsigma","08313000",0.0861257511405372
"HFsigma","08330000",0.119446070371256
"HFsigma","08354900",0.222678531202051
"HFsigma","08355490",0.435134426548549
"HFsigma","08358400",0.324733054542342
"HFsigma","09095500",0.0630232033472392
"HFsigma","09152500",0.0934266412544176
"HFsigma","09163500",0.0650190848459829
"HFsigma","09261000",0.0752934583307334
"LFsigma","07103700",0.263988538611932
"LFsigma","07105500",0.194243003558641
"LFsigma","07105800",0.106632003661533
"LFsigma","07106300",0.297351392785988
"LFsigma","07106500",0.301647677256132
"LFsigma","07109500",0.110492286526212
"LFsigma","08313000",0.078440528872491
"LFsigma","08330000",0.271655573290547
"LFsigma","08354900",0.33832113079071
"LFsigma","08355490",0.544947176946614
"LFsigma","08358400",0.507150309751814
"LFsigma","09095500",0.0630028233736495
"LFsigma","09152500",0.086478724182728
"LFsigma","09163500",0.0785165998789425
"LFsigma","09261000",0.0709175268538307
"rms.signal","07103700",0.0699348923300356
"rms.signal","07105500",0.0558476669575317
"rms.signal","07105800",0.0398592586784036
"rms.signal","07106300",0.027853624468116
"rms.signal","07106500",0.0246728533948019
"rms.signal","07109500",0.0582828603916946
"rms.signal","08313000",0.0423384340881722
"rms.signal","08330000",0.0487449377290233
"rms.signal","08354900",0.0879246461942646
"rms.signal","08355490",0.191972024117462
"rms.signal","08358400",0.143265102403605
"rms.signal","09095500",0.0509580836500059
"rms.signal","09152500",0.0376751451463089
"rms.signal","09163500",0.0378240681424989
"rms.signal","09261000",0.0510500298148326
"rms.noise","07103700",0.00437346096213004
"rms.noise","07105500",0.00335202903965619
"rms.noise","07105800",0.00208435140489313
"rms.noise","07106300",0.00302396153068618
"rms.noise","07106500",0.00314020015318863
"rms.noise","07109500",0.0019175585022333
"rms.noise","08313000",0.00143558057216715
"rms.noise","08330000",0.0019361323792511
"rms.noise","08354900",0.00358778500086966
"rms.noise","08355490",0.0100308437982768
"rms.noise","08358400",0.00603680639282497
"rms.noise","09095500",0.00152656608058933
"rms.noise","09152500",0.00123696399941605
"rms.noise","09163500",0.0013728168901227
"rms.noise","09261000",0.00147203352785535
"snr","07103700",55.4402004364449
"snr","07105500",56.2612381062572
"snr","07105800",59.017939728237
"snr","07106300",44.4079072696956
"snr","07106500",41.2283409089615
"snr","07109500",68.2851059369792
"snr","08313000",67.6825186701055
"snr","08330000",64.5181797273389
"snr","08354900",63.9789026744254
"snr","08355490",59.0336985561831
"snr","08358400",63.336432954719
"snr","09095500",70.1596516872419
"snr","09152500",68.3268121449518
"snr","09163500",66.3216174052567
"snr","09261000",70.923226630391
